# config/maps/plugins/wannweil/de-DE/check_trash.py
Datum,Wochentag,Abfallarten
2026-01-02,Freitag,Biotonne 🍎 & Restmüll 🗑️
2026-01-10,Samstag,Papiertonne 📄
2026-01-15,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-01-27,Dienstag,Gelber Sack 🟡
2026-01-29,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-02-06,Freitag,Papiertonne 📄
2026-02-12,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-02-24,Dienstag,Gelber Sack 🟡
2026-02-26,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-03-06,Freitag,Papiertonne 📄
2026-03-12,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-03-18,Mittwoch,Problemstoffe ⚠️
2026-03-24,Dienstag,Gelber Sack 🟡
2026-03-26,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-04-04,Samstag,Papiertonne 📄
2026-04-10,Freitag,Biotonne 🍎 & Restmüll 🗑️
2026-04-21,Dienstag,Gelber Sack 🟡
2026-04-23,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-05-02,Samstag,Papiertonne 📄
2026-05-07,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-05-19,Dienstag,Gelber Sack 🟡
2026-05-21,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-05-30,Samstag,Papiertonne 📄
2026-06-05,Freitag,Biotonne 🍎 & Restmüll 🗑️
2026-06-11,Donnerstag,Biotonne 🍎
2026-06-13,Samstag,Problemstoffe ⚠️
2026-06-16,Dienstag,Gelber Sack 🟡
2026-06-18,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-06-25,Donnerstag,Biotonne 🍎
2026-06-26,Freitag,Papiertonne 📄
2026-07-02,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-07-09,Donnerstag,Biotonne 🍎
2026-07-14,Dienstag,Gelber Sack 🟡
2026-07-16,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-07-23,Donnerstag,Biotonne 🍎
2026-07-24,Freitag,Papiertonne 📄
2026-07-30,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-08-06,Donnerstag,Biotonne 🍎
2026-08-11,Dienstag,Gelber Sack 🟡
2026-08-13,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-08-20,Donnerstag,Biotonne 🍎
2026-08-21,Freitag,Papiertonne 📄
2026-08-27,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-09-08,Dienstag,Gelber Sack 🟡
2026-09-10,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-09-18,Freitag,Papiertonne 📄
2026-09-24,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-10-06,Dienstag,Gelber Sack 🟡
2026-10-08,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-10-16,Freitag,Papiertonne 📄
2026-10-20,Dienstag,Problemstoffe ⚠️
2026-10-22,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-11-03,Dienstag,Gelber Sack 🟡
2026-11-05,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-11-13,Freitag,Papiertonne 📄
2026-11-19,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-11-27,Freitag,Problemstoffe ⚠️
2026-12-01,Dienstag,Gelber Sack 🟡
2026-12-03,Donnerstag,Biotonne 🍎 & Restmüll 🗑️
2026-12-11,Freitag,Papiertonne 📄
2026-12-16,Mittwoch,Biotonne 🍎 & Restmüll 🗑️
2026-12-29,Dienstag,Gelber Sack 🟡
